step,duration_ms,fittest,fitness
0,2,25440,182
25000000,11410,2016643404,211
50000000,22748,2016643404,211
75000000,34419,2016643420,211
100000000,45891,1748207948,211
125000000,57504,2016643420,211
150000000,69090,1748207948,211
175000000,80789,2033961053,211
200000000,92454,1748207948,211
225000000,104045,2016643420,211
250000000,115805,2016643404,211
275000000,127521,1899743327,211
300000000,139244,1899743327,211
325000000,150797,2033961053,211
350000000,162314,1899743327,211
375000000,173761,1899743327,211
400000000,185265,2016643420,211
425000000,196713,2016643404,211
450000000,208399,1748207948,211
475000000,219919,2016643404,211
500000000,231645,2016643420,211
525000000,243219,18446744073173185601,212
550000000,254702,18446744073173185601,212
575000000,266350,18446744073173185601,212
600000000,277617,18446744073307397209,212
625000000,289398,18446744073173185601,212
650000000,301204,18446744073307397209,212
675000000,312864,18446744073173185601,212
700000000,324309,18446744073173185601,212
725000000,335646,18446744073307397209,212
750000000,347196,18446744073307397209,212
775000000,358936,18446744073173185601,212
800000000,370562,18446744073173185601,212
825000000,382356,18446744073173185601,212
850000000,393834,18446744073173185601,212
875000000,405633,18446744073307397209,212
900000000,417048,18446744073307397209,212
925000000,428333,18446744073173185601,212
950000000,439796,18446744073307397209,212
975000000,451147,18446744073307397209,212
1000000000,462830,18446744073173185601,212
1025000000,474180,18446744073307397209,212
1050000000,485533,18446744073307397209,212
1075000000,496940,18446744073307397209,212
1100000000,508306,18446744073307397209,212
1125000000,519755,18446744073173185601,212
1150000000,531043,18446744073173185601,212
1175000000,542336,18446744073173185601,212
1200000000,553981,18446744073173185601,212
1225000000,565570,18446744073307397209,212
1250000000,576855,18446744073307397209,212
1275000000,588540,18446744073173185601,212
1300000000,600206,18446744073307397209,212
