nstrings,nstates,duration_ms,fittest,fitness
1,51,198,00011001001111111000000000001101101110001101101001,187
3,84,741,00011001001111110000000000001101101110001101101001,191
21,100,1026,00011001001111110000000000001001101110001101101001,193
25,229,1285,00011001001111110000000000001001101110001101100001,194
18,99,1546,10011001001111110000000000001001101110001101100001,196
16,121,1805,10011001001111110000000000001000101110001101100001,198
21,166,2062,10010001001111110000000000001000101110001101100001,199
24,163,2319,10010001001111110000000010001000101110001101100001,201
33,308,2576,10010000001111110000000010001001101110001101100000,202
52,401,2837,10010000001111110000000010001001101110001101100000,202
74,466,3096,10010001001111110000000010101001101110000101100010,202
11,139,3355,10010000001111110000000010001000101110000101100010,204
32,188,3612,10010000001111100000000010001000101110000101100010,204
50,273,3868,10010000001111100000000010001000101110000101100010,204
66,323,4125,10010000001111100000000010001000101110000101100010,204
42,327,4381,10010000001111100000000010001000001110000101100010,205
33,319,4635,10010000001111100000000010001000000110000101100010,206
49,356,4893,10010000001111100000000010001000000110000101100010,206
68,396,5150,10010000001111100000000010001000000110000101100010,206
86,483,5407,10010000001111100000000010001000000110000101100010,206
106,567,5664,10010000001111100000000010001000000110000101100000,206
126,547,5925,00010000001111100000000010001000000110000101100010,206
145,602,6187,00010000001111100000000010001000000110000101100010,206
173,659,6445,00010000001111100000000010001000000110000101100010,206
173,659,6703,00010000001111100000000010001000000110000101100010,206
79,524,6961,10010001001111100000000010101000000110000101100100,207
22,323,7221,10010001001111100000000010101000001100000101100110,208
31,248,7478,10010000001111100000000010101000001100000101100110,209
31,248,7734,10010000001111100000000010101000001100000101100110,209
45,290,7992,10010000001111100000000010101000001100000101100110,209
59,314,8250,10010000001111100000000010101000001100000101100110,209
59,336,8508,10010000001111100000000010101000001100000101100110,209
88,482,8766,10010000001111100000000010101000001100000101100100,209
103,539,9025,10010000001111100000000010101000001100000101100100,209
103,539,9286,10010000001111100000000010101000001100000101100100,209
61,435,9547,10010001001111100000000010100000000100000101100110,210
76,516,9805,10010000001111110000000010101000000100000101100110,210
90,605,10064,10010000001111110000000010101000000100000101100110,210
106,650,10327,10010000001111110000000010101000000100000101100110,210
122,710,10591,10010000001111110000000010101000000100000101100110,210
25,364,10850,10010001001111100000010010100001000100000101100110,211
32,156,11108,10010001011111100000010010100001000100000101100110,212
45,230,11362,10010001011111100000010010100001000100000101100110,212
71,282,11617,10010000001111100000010010100000000100000101100110,212
85,329,11873,10010000001111100000010010100000000100000101100110,212
97,332,12128,10010000001111100000010010100000000100000101100110,212
111,464,12386,10010000001111100000010010100000000100000101100110,212
125,475,12642,10010000001111100000010010100000000100000101100110,212
137,515,12899,10010000001111100000010010100000000100000101100110,212
146,581,13157,10010000001111100000010010100000000100000101100110,212
156,637,13415,10010000001111100000010010100000000100000101100110,212
89,598,13674,10010000001111100000010010100000000100000101100111,213
102,643,13933,10010000001111100000010010100000000100000101100111,213
116,684,14192,10010000001111100000010010100000000100000101100111,213
127,718,14449,10010000001111100000010010100000000100000101100111,213
138,761,14709,10010000001111100000010010100000000100000101100111,213
151,864,14968,10010000001111100000010010100000000100000101100111,213
161,868,15229,10010000001111100000010010100000000100000101100111,213
175,948,15489,10010000001111100000010010100000000100000101100111,213
185,1026,15751,10010000001111100000010010100000000100000101100111,213
209,1066,16014,10010000001111100000010010100000000100000101100111,213
223,947,16280,10010000001111100000010010100000000100000101100111,213
238,1002,16543,10010000001111100000010010100000000100000101100111,213
81,793,16804,10010001111111100001010010100000000100000101101111,214
92,825,17062,10010001111111100001010010100000000100000101101111,214
106,882,17321,10010001111111100001010010100000000100000101101111,214
115,918,17581,10010001111111100001010010100000000100000101101111,214
124,956,17842,10010001111111100001010010100000000100000101101111,214
137,1022,18100,10010001111111100001010010100000000100000101101111,214
147,1046,18363,10010001111111100001010010100000000100000101101111,214
160,1135,18624,10010001111111100001010010100000000100000101101111,214
173,1178,18885,10010001111111100001010010100000000100000101101111,214
184,1215,19148,10010001111111100001010010100000000100000101101111,214
197,1291,19411,10010001111111100001010010100000000100000101101111,214
219,1376,19676,10000001101111100000010010100000000100000101101111,214
231,1400,19941,10000001101111100000010010100000000100000101101111,214
242,1431,20208,10000001101111100000010010100000000100000101101111,214
265,1573,20475,10000001101111100000010010100000000100000101101111,214
275,1612,20742,10000001101111100000010010100000000100000101101111,214
301,1657,21010,10000001101101100001010010100000000100000101101111,214
323,1692,21277,10000001101101100001010010100000000100000101101111,214
343,1439,21549,10000001101101100001010010100000000100000101101111,214
356,1511,21815,10000001101101100001010010100000000100000101101111,214
378,1545,22080,10000001101101100001010010100000000100000101101111,214
407,1663,22348,10000001101101100001010010100000000100000101101111,214
420,1724,22617,10000001101101100001010010100000000100000101101111,214
435,1770,22885,10000001101101100001010010100000000100000101101111,214
448,1868,23155,10000001101101100001010010100000000100000101101111,214
475,1970,23425,10000001101101100001010010100000000100000101101111,214
489,1983,23696,10000001101101100001010010100000000100000101101111,214
500,2046,23971,10000001101101100001010010100000000100000101101111,214
523,2064,24244,10000001101101100001010010100000000100000101101111,214
550,2230,24517,10000001101101100001010010100000000100000101101111,214
564,2409,24793,10000001101101100001010010100000000100000101101111,214
564,2418,25070,10000001101101100001010010100000000100000101101111,214
